date,dow,TEMP,RH,pm25,tot,cvd,resp
08/23/1999,2,85.9,72.9676702,NA,54,17,5
08/24/1999,3,83.9,77.5278506,NA,52,17,0
08/25/1999,4,84.7,74.3211091,NA,45,10,3
08/26/1999,5,85,74.8439992,NA,37,13,3
08/27/1999,6,84.8,74.0837473,NA,30,8,1
08/28/1999,7,84.9,72.6286844,12.5695402,47,15,1
08/29/1999,1,82,76.0852367,12.3092907,52,14,4
08/30/1999,2,84,63.1703112,30.3317093,50,10,2
08/31/1999,3,82.2,73.5915572,29.2172809,35,11,0
09/01/1999,4,77.9,85.8200547,16.2318171,34,8,1
09/02/1999,5,82.2,74.837978,NA,42,17,3
09/03/1999,6,82.3,77.6534414,10.7567526,36,11,0
09/04/1999,7,82.1,79.7364355,NA,48,11,3
09/05/1999,1,83.5,73.7150986,NA,49,13,3
09/06/1999,2,82.4,75.1076189,7.76623899,52,13,5
09/07/1999,3,83.4,72.725046,NA,46,18,4
09/08/1999,4,84.3,70.6535312,11.2491484,51,14,3
09/09/1999,5,83.7,63.1334646,11.2694657,41,12,4
09/10/1999,6,83.6,59.5544371,18.8821727,44,12,3
09/11/1999,7,80.7,66.9986228,19.7302866,47,15,1
09/12/1999,1,81.7,68.0330387,22.9547267,45,11,5
09/13/1999,2,82,62.7080803,23.0167276,49,12,5
09/14/1999,3,81.6,61.1653004,16.655874,36,11,1
09/15/1999,4,81.3,40.5233023,13.7659868,42,13,2
09/16/1999,5,79.1,38.0156825,16.0197886,47,20,2
09/17/1999,6,77.8,50.8161385,24.8189695,51,11,2
09/18/1999,7,78,50.6639503,19.4102331,38,9,2
09/19/1999,1,78.2,49.7931501,23.0167276,39,13,4
09/20/1999,2,81,52.3864642,27.0452682,42,17,4
09/21/1999,3,79.9,61.159154,20.2882166,42,10,4
09/22/1999,4,71.8,51.7841756,10.7190773,44,14,3
09/23/1999,5,70.4,44.1083845,17.610002,42,15,2
09/24/1999,6,70.8,60.1845406,17.3150644,42,8,1
09/25/1999,7,76,68.0995008,10.8250915,39,17,0
09/26/1999,1,78.7,71.2782163,6.5845224,48,17,4
09/27/1999,2,79.5,74.5889463,8.82417619,45,22,1
09/28/1999,3,77.7,88.7345126,3.72213827,47,15,4
09/29/1999,4,70.2,81.6055329,4.14619517,47,13,2
09/30/1999,5,67.5,58.6555606,10.9193448,41,11,6
10/01/1999,6,67.2,57.1212123,14.8536321,54,16,6
10/02/1999,7,71.9,75.9677116,16.4438455,47,12,5
10/03/1999,1,78.7,80.0138869,13.1256229,38,15,2
10/04/1999,2,80.5,73.1804302,18.2460874,62,21,6
10/05/1999,3,77.2,56.6643216,19.2002154,42,10,4
10/06/1999,4,70.9,44.5203032,17.4908189,40,14,3
10/07/1999,5,70,58.7829509,30.649752,35,12,2
10/08/1999,6,76.6,81.5005295,20.7904288,36,20,3
10/09/1999,7,78.6,81.3672257,6.09849719,51,14,4
10/10/1999,1,77,83.7673457,10.0829919,42,10,2
10/11/1999,2,78.4,68.6034221,12.0972622,51,14,3
10/12/1999,3,77.6,65.7230869,21.3917935,50,15,4
10/13/1999,4,77.3,74.6387363,19.4122439,32,14,4
10/14/1999,5,77.6,69.2289595,25.8791117,48,14,4
10/15/1999,6,75.2,73.9290186,27.5753394,43,18,2
10/16/1999,7,75.7,70.2320881,NA,37,10,1
10/17/1999,1,74.9,75.9731061,NA,33,12,0
10/18/1999,2,63.2,76.8195035,NA,34,10,1
10/19/1999,3,57.2,79.4549865,NA,41,13,5
10/20/1999,4,59.7,56.4799178,9.3408923,53,13,2
10/21/1999,5,60.9,50.1297526,12.0687601,42,7,4
10/22/1999,6,64.4,52.4224775,14.323561,51,20,4
10/23/1999,7,68.1,41.3112381,NA,55,15,1
10/24/1999,1,60.9,45.5040322,19.9682035,50,16,5
10/25/1999,2,59.2,62.0333149,25.1370121,49,18,1
10/26/1999,3,62.9,69.0790301,19.2761806,48,14,3
10/27/1999,4,65.6,75.1203062,15.0155094,47,14,3
10/28/1999,5,69.9,79.8892927,18.8874393,48,14,4
10/29/1999,6,70.5,78.5498994,24.7977965,37,15,4
10/30/1999,7,72.6,78.1763739,9.17453727,39,10,3
10/31/1999,1,59.7,72.384273,5.71134293,50,19,2
11/01/1999,2,60.3,71.382961,NA,63,14,5
11/02/1999,3,62.8,41.5703814,7.63385114,42,15,3
11/03/1999,4,54.5,39.3895863,5.21660088,42,20,2
11/04/1999,5,63.8,68.6755488,NA,45,11,5
11/05/1999,6,71,71.7288764,11.2190387,48,21,2
11/06/1999,7,68.5,77.5583006,12.945376,47,12,5
11/07/1999,1,62,68.9773881,NA,53,15,6
11/08/1999,2,62.7,64.6163892,23.180482,42,13,2
11/09/1999,3,63,78.7725297,34.4662641,62,19,2
11/10/1999,4,68.9,86.2029482,22.1686138,45,10,4
11/11/1999,5,69.8,67.6346476,25.2395912,45,18,2
11/12/1999,6,67.7,59.9886064,25.2430264,43,8,2
11/13/1999,7,65.2,58.1218776,31.2858373,59,13,4
11/14/1999,1,63,71.1464435,28.7336437,47,16,1
11/15/1999,2,66.5,68.9802258,24.7129552,42,20,2
11/16/1999,3,65.2,53.9416343,17.3979736,57,19,6
11/17/1999,4,61.8,63.3132723,26.3778484,53,19,2
11/18/1999,5,65.4,71.6598369,11.6732053,54,19,4
11/19/1999,6,71.3,73.2935257,8.59879271,48,17,2
11/20/1999,7,70.4,55.5059475,NA,42,13,6
11/21/1999,1,67.8,78.3269978,NA,37,8,3
11/22/1999,2,73.1,82.0939576,NA,46,19,2
11/23/1999,3,72.6,77.3655911,7.7506789,45,14,3
11/24/1999,4,59.3,58.3929334,NA,50,13,3
11/25/1999,5,53.4,71.7199279,14.323561,59,22,5
11/26/1999,6,48.8,67.697397,6.16046549,44,14,5
11/27/1999,7,56.8,67.8664016,4.88829476,42,13,3
11/28/1999,1,62.6,78.1711443,15.3837033,50,13,4
11/29/1999,2,63.3,81.9807045,16.1039796,42,15,2
11/30/1999,3,60.1,48.1058286,15.6061839,51,17,2
12/01/1999,4,57.4,68.1933527,20.2303221,42,12,2
12/02/1999,5,65.5,87.237409,10.5921839,54,14,4
12/03/1999,6,70.1,88.3850468,7.40245233,59,14,5
12/04/1999,7,71.3,82.5390178,NA,48,20,4
12/05/1999,1,54.6,61.8951414,2.97387721,38,14,4
12/06/1999,2,49,56.0129002,8.9168354,48,14,4
12/07/1999,3,50.7,73.6629127,13.6874756,49,12,6
12/08/1999,4,63.4,83.4712411,8.7221963,55,19,4
12/09/1999,5,67,80.8001044,6.16046549,48,13,3
12/10/1999,6,54.1,66.265387,10.9311057,42,11,4
12/11/1999,7,58.7,91.7337999,13.3660386,54,20,4
12/12/1999,1,67.6,87.6516851,2.87402445,49,13,2
12/13/1999,2,54,73.437339,9.55292076,53,19,4
12/14/1999,3,52.9,62.875873,9.94677675,50,17,2
12/15/1999,4,53.5,36.2782332,4.88829476,68,23,7
12/16/1999,5,46.9,43.2038289,13.6874756,63,18,5
12/17/1999,6,53.2,72.799627,8.85905852,46,15,2
12/18/1999,7,58,86.2078594,20.8964431,45,14,5
12/19/1999,1,52.7,77.8976372,22.9107134,55,20,3
12/20/1999,2,56,91.6387268,14.8959127,52,21,4
12/21/1999,3,47.1,75.0290829,5.20633745,50,19,6
12/22/1999,4,46.1,59.5281053,6.05445126,40,14,4
12/23/1999,5,50.2,49.629495,10.9639854,48,17,5
12/24/1999,6,52.5,48.2264598,NA,63,21,6
12/25/1999,7,51.7,54.2223415,8.81082117,61,20,9
12/26/1999,1,50.1,58.6822886,15.4886025,47,17,3
12/27/1999,2,60.3,52.4029816,9.44690653,77,25,9
12/28/1999,3,53.8,48.2418233,6.16046549,61,22,10
12/29/1999,4,54,51.4374196,7.76623899,71,28,6
12/30/1999,5,59.6,77.6294941,NA,61,22,7
12/31/1999,6,62,63.5753583,NA,51,13,7
01/01/2000,7,57.9,75.2159177,NA,76,15,11
01/02/2000,1,71.4,83.1199242,NA,64,15,9
01/03/2000,2,71.8,72.3185862,11.2858416,64,24,10
01/04/2000,3,53,34.5806106,7.70280978,68,21,7
01/05/2000,4,44.9,49.1825398,11.1759953,63,17,8
01/06/2000,5,56,80.5463798,8.47385017,55,17,5
01/07/2000,6,59.2,71.2653629,11.362885,57,19,6
01/08/2000,7,61.9,86.1163885,19.9330932,63,27,7
01/09/2000,1,59,88.4849449,21.8111115,73,19,7
01/10/2000,2,62.1,59.8974778,12.8274042,63,20,9
01/11/2000,3,64.8,76.1347981,13.5993171,60,16,9
01/12/2000,4,70.8,85.4166185,6.48447506,57,10,7
01/13/2000,5,72.4,80.3598189,10.149244,56,13,6
01/14/2000,6,59.6,28.868227,6.75393194,55,22,2
01/15/2000,7,57.1,69.1937415,10.2814688,48,19,4
01/16/2000,1,65,76.9788924,6.93413544,51,14,6
01/17/2000,2,65.3,77.5597331,7.91612517,59,19,3
01/18/2000,3,66,78.176562,23.6351475,64,27,7
01/19/2000,4,68.1,77.7991429,5.6651842,53,17,7
01/20/2000,5,63.2,56.7671517,6.67229735,54,7,9
01/21/2000,6,52,53.6260132,9.23761537,48,23,7
01/22/2000,7,66.1,77.3515878,7.24027996,63,18,9
01/23/2000,1,67.2,82.8387042,16.2101475,51,14,5
01/24/2000,2,55.9,52.7533098,12.5554976,51,25,1
01/25/2000,3,50.3,56.8791576,19.9904726,34,10,7
01/26/2000,4,46.6,47.4656757,15.6999199,41,12,4
01/27/2000,5,49.1,73.2152879,18.3609574,51,22,1
01/28/2000,6,38.6,89.9107107,10.402235,49,19,3
01/29/2000,7,37.3,79.9779199,16.1190785,59,18,4
01/30/2000,1,41.1,66.2140171,15.1304619,58,15,3
01/31/2000,2,49.5,53.8885356,13.3451983,64,20,5
